,beta,cum return,rtn mean,rtn std
FUCVREIT,-0.1525942129189195,-0.42532146389713155,0.00021970223821364893,0.04563703597432589
VPD,0.44033736650909905,0.03779207167957921,0.0002398512538817109,0.019111794936185436
VPG,0.4017080243800413,0.8007657037362106,0.0011810376329331473,0.023927111060348373
VPH,0.48584499698864836,0.08902541862426205,0.00035024602325973015,0.023819856620085574
VPI,0.18423253240022897,-0.024186822351960013,-1.650632854832045e-05,0.007463762948197814
VPS,0.18208361702368966,0.5539229111346615,0.0013360681561601165,0.04135682347548961
VRC,0.7529068833806044,0.2565089427213041,0.0006709273338557891,0.0311647320102187
VRE,1.7612080997557227,-0.11666822182824788,0.00012347794932471873,0.024501985418803066
VSC,0.7925560540584495,0.05604976520392113,0.00023546529555598767,0.019624524007143623
VSH,0.22506669406857,0.4903712458286986,0.00043048664211944545,0.014627644355182655
VSI,0.12937295225440243,1.2181750256841317,0.001200401636141233,0.03157724086077492
VTB,0.05661625325657337,0.17014925373134338,0.0007911042025682619,0.03625593377950336
VTO,0.4502658381335829,0.7843388960205393,0.0006012710427505519,0.016521575369418593
YBM,0.7656069346177478,-0.7193382146067647,-0.0019104034238520903,0.033600075537832085
YEG,0.7801541490498246,-0.836,-0.002599034141049441,0.036296534330913996
VGC,1.006130589794054,0.1734042783293317,0.0006679321960636752,0.018793509998545822
VHC,0.888483918176003,1.6001571593762178,0.0010670329831573737,0.024589075969280248
VHM,1.3272684822158984,-0.10587534917800068,1.8182493468469073e-05,0.020566785337587056
VIC,0.9167286244874163,2.562501230145452,0.0011731140091014915,0.017661031090929435
VID,0.08452459398214843,0.5566672208200465,0.0010172463445999713,0.03555812963478057
VIP,0.5006233566410874,0.031109855573996148,0.0001569187065584451,0.016340956939328178
VIS,0.24799728664166765,1.0863538314650447,0.0009985800630485083,0.026248817762172277
VJC,0.9441259265226576,0.746201188734696,0.0007981144128362864,0.01833064056534042
VND,1.4934073414286868,-0.2332044049173463,-6.024291707421244e-05,0.023951559427471222
VNE,0.5376930767733852,-0.3087613002500481,4.8640513054263096e-06,0.024581829717157645
VNG,0.4672708416918782,0.5311103118738119,0.000651552844832158,0.024930732878691884
VNL,0.16752041029952336,-0.07034885553116177,0.0007278582072277763,0.04019798390072649
VNM,0.8021808634542036,1.1780099591120985,0.0007439092058662315,0.015540731126132377
VNS,0.47716650221738527,-0.5164320978557218,-0.00032190664948216136,0.0231958619700535
VOS,0.6227774114126445,-0.47931034482758617,-1.5679871436806193e-05,0.031946113318086944
VPB,1.8313266091278324,-0.054020413243714094,0.00021496649018353358,0.023981485515212748
TS4,0.3343024909075931,-0.5874577237081728,-0.0003722601161629331,0.02661897821596212
TSC,0.9604903384592075,-0.7753731343283582,-0.0006366921010201872,0.033449377293886785
TTB,1.20337946212239,-0.770464135021097,-0.0023984188702721905,0.029900029551529803
TTF,0.8743796026797189,-0.7151162790697674,-0.0003420718566441489,0.036410010591529055
TV2,1.3883801095922412,-0.0883786175670267,2.2110020966223832e-07,0.02412882575628936
TVB,0.4891328966444712,-0.366825160495013,-0.0005392489642366455,0.02403374307499946
TVS,0.20620505499049674,0.7781821189314366,0.0006786115849997064,0.019409031220906977
TVT,0.28566360303372723,0.09737572678225348,0.0003823968341648765,0.022823865767755015
TYA,0.3580252705812057,1.225112967273723,0.0008979279396048208,0.022446015131619316
UDC,0.3821681189147785,0.4723863867943754,0.0009696582642899887,0.036043668489435514
UIC,0.09447429051640271,2.4261281097822813,0.0012550449529768772,0.022304230078397814
VAF,0.10211321805108431,-0.01830571115089219,0.0010872476598740664,0.04708908928594914
VCB,1.311156946029816,1.7324859631430578,0.0009800337496635805,0.018715676047149746
VCF,0.20650238155023184,0.7310974008926228,0.0009624034048834857,0.028680801271549195
VCI,1.3772241028955425,-0.2687905058496759,-0.00011019341514491938,0.02379391850801467
VDP,0.39823208719236436,0.1500332724759843,0.0006369396793754999,0.029591145413622573
VDS,0.7158343947596423,-0.37849070086691616,-0.00026429159863063524,0.028031342096464677
VFG,0.20013262024154949,1.440223770899208,0.001042115791316332,0.023687839158008407
TNA,0.5484411109669375,0.9007210477264924,0.0008427097451997058,0.02551188708016079
TNC,0.11494563065583258,2.256683280471228,0.0018232863663890674,0.0351848357841596
TNI,0.3736222333819307,-0.7571044931660588,-0.0013691592033645973,0.02634785061711848
TNT,0.5849251434240351,-0.8102715860818099,-0.0007229411717657826,0.0348552574707262
TPB,0.9670300311971513,-0.22205678148997043,-0.00024115068759995013,0.018861118750331425
TPC,0.3452474017630864,1.0071836044791884,0.0014037473603043921,0.03648902237168247
TRA,0.376556334471229,0.40727979326508956,0.0004602683788564604,0.018860625587031613
TLD,0.3357153845807084,0.15089034676663537,0.000612328688365588,0.02856872972444882
TLG,0.27116561750774865,0.5070278439313474,0.0005832602206479361,0.021853616547431922
TLH,0.8107304104570783,0.24550235261555486,0.0004823369382888763,0.024830619706267845
TMP,0.03061133504524541,1.0285747079401357,0.001049257380681136,0.025479621920392836
TMS,0.17545617462939964,-0.12480333474603333,0.00029070140480647093,0.02839908066971806
TMT,0.5268710157668035,-0.8371590895383761,-0.0008602120228427594,0.03585619738593841
TN1,0.2696973940138936,0.8514154912983471,0.0022646924893731882,0.024167031906587675
STK,0.640169055362988,-0.04815055963786319,0.00038771642386550923,0.02931947589913115
SVC,0.4003375740865589,4.237964152443873,0.0016883372874992404,0.025573671064727372
SVI,-0.015403979526579183,1.3490238105595345,0.0016437286498649155,0.036080519617673744
SVT,-0.13558090102996004,0.1538372781747832,0.0015728896547510393,0.05177320809399904
SZC,1.341471127230297,1.6041177023596878,0.002800355227957257,0.03092915604019415
SZL,0.5281104512192436,2.932210485396249,0.0014138532627283485,0.02399925322195096
TAC,0.3644049098889574,2.3265340006166837,0.0014993335224006202,0.029804200766501622
TBC,0.13791434670116934,0.40014738393515126,0.0006135839397842485,0.02331817871684888
TCB,1.4960548339273896,-0.37151881488079364,-0.0006098233583029146,0.020185702487790513
TCD,-0.03191673299390035,0.006461482719056333,0.00044207116517076036,0.029440125365892376
TCH,0.7834726537647426,0.5118325133766652,0.0007847230636965184,0.02694964938688673
TCL,0.41705713442163767,1.1416778293511105,0.0008091821517898215,0.018863227354243627
TCM,1.093855908914601,-0.03525108639116792,0.00028747942389945627,0.02520052090540373
TCO,0.2944103383551289,0.7494496522968817,0.0018092167721738028,0.047142458945671505
TCR,0.07166722450500476,-0.3106515454747609,0.0002826082300105791,0.035222549831987277
TCT,0.3698944118824382,-0.4466757819176209,-0.0003093590817550373,0.021458450878209162
TDC,0.5997112857497098,1.1490323214461147,0.0007762956067255056,0.018150568783637418
TDG,0.8319396620476339,-0.8230487970026633,-0.0016358062734841434,0.03164356148368955
TDH,0.8911066298825607,0.43947814361983206,0.0005265617792885771,0.021715008682742284
